station_name,latitude,longitude
129公里,39.20559444,117.1717667
28K乘降所,39.971201,116.053662
一平浪,25.1691569,101.9062205
一步滩,28.8892032,104.682543
一间堡,43.999602,125.351867
一零一,39.96274,116.245984
一面坡,45.0594057,128.0753067
一面坡北,45.08383333,128.0804667
一面山,40.348972,124.096944
丁山,31.23562873,119.8312384
丁里,34.10994444,116.9208333
七公里,36.474191,114.357827
七台河,45.809387,130.894736
七台河西,45.74234333,130.7737253
七号,41.092325,100.2869194
七宝,31.160709,121.323628
七家子,45.047335,124.930472
七斗冲,27.77861111,113.1630556
七泉湖,43.130286,89.4662251
七甸,24.93390042,102.9787307
七苏木,41.07895,113.192201
七营,36.5017084,106.1400983
七道桥,39.52388889,118.0711111
七里河,41.3370102,121.2513615
七里营,35.21164167,113.7833056
七间房所,40.2131105,116.166624
七龙星,29.2325,106.4319444
万乐,45.883147,126.457168
万发屯,46.5337783,127.1157325
万宁,18.809271,110.377002
万安县,26.52769,114.839511
万宝镇所,27.6195824,111.9722985
万家屯,40.04132,119.863761
万山,44.999471,128.267694
万州,30.75694444,108.395
万州北,30.86558167,108.3622239
万年,28.68833333,117.0747222
万庄,39.57343985,116.5948434
万德,36.33814,116.92298
万水泉,40.590946,109.934656
万水泉南,40.5784,109.8904
万源,32.08553559,108.0421546
万盛东,28.945833,106.932629
万能,26.401466,117.833572
万顷沙,22.696117,113.521637
丈八七路,34.195442,108.836371
丈八五路,34.19999,108.858072
丈八四路,34.194799,108.864727
三义井,42.6992618,120.2472857
三义村,34.4071616,109.0906385
三井子,45.103299,125.340006
三亚,18.298611,109.488611
三元区,26.243586,117.602273
三元坝,28.494049,106.833397
三元西,26.1765512,117.3800103
三八树,40.624589,110.831074
三关口,35.6648,106.39188
三十家,41.012618,119.047958
三十里铺,31.877383,117.3994479
三原,34.60648729,108.943018
三台,41.948838,123.154206
三合庄,39.634261,115.707662
三唐,37.261804,116.386106
三坪,43.91523092,87.31406604
三堂集,33.33888889,115.8155556
三堆子,26.5959958,101.8253569
三堡,40.32638889,116.0355556
三塔,33.24861111,115.8266667
三塔镇,32.76805556,115.7036111
三墩,30.33685453,120.0646419
三家子,42.4438422,123.5854312
三家寨,26.1592155,104.7245624
三家店,39.95,116.1136111
三家村,24.92889,102.90139
三山,32.103609,119.529135
三岔口,41.025757,112.931761
三岔湖,30.36727722,104.3303731
三平,39.96258333,117.0034722
三把火,42.294573,118.672342
三明,26.2325,117.5855556
三明东,26.287853,117.636517
三明北,26.3755,117.807
三星,30.352824,105.742272
三星堆,30.943475,104.2077032
三林南,31.12818,121.48336
三根河,48.91618321,121.2263218
三桥,34.275562,108.962845
三民村,34.288781,108.859859
三水,23.162331,112.883221
三水北,23.18744444,112.9136139
三水区,23.16722222,112.8341667
三水南,23.11611111,112.8661111
三水西,23.19256,112.847498
三汇坝,30.0605312,106.5790997
三汇镇,31.014854,107.165819
三汊埠,30.9405108,114.0623781
三江,28.950002,106.69813
三江南,25.72843889,109.5715056
三江县,25.8384,109.5676
三江口,43.3685586,123.7146774
三江坝,32.238619,106.537747
三江镇,28.2961,115.999
三河县,39.97105556,117.08275
